Age,Gender,What's the first thing you do when you receive your paycheck?,Do you track your spending on a regular basis?,How often do you make impulse purchases (buying things not planned)?,"If you received an unexpected bonus of 20,000? what would you do with it?  ",Do you have a budget that you follow each month?  , What motivates you the most to save money?  ,"How comfortable are you with using financial products (e.g., credit cards, loans, investments)?  ",Have you set specific financial goals for the next 5 years?  ,How confident are you in making investment decisions?  ,Which financial habit are you most proud of adopting in the past year?  
58,Female,Pay bills,Sometimes,Frequently,Save it,"Yes, but I don't always stick to it",Future security,Very comfortable,"Yes, but it's vague",Not confident at all,Paying off debt
60,Male,Pay bills,"Yes, daily",Rarely,Save it,"No, i don't have a budget",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Spending less
19,Male,Save,"Yes, monthly",Frequently,Pay off debt,"Yes, but I don't always stick to it",Travel,Somewhat comfortable,"Yes, I have a detailed plan",Very confident,Saving more
55,Female,Save,Sometimes,Frequently,Invest it,"No, i don't have a budget",Future security,Not comfortable,"Yes, I have a detailed plan",Not confident at all,Spending less
34,Male,Save,"Yes, daily",Rarely,Invest it,"Yes, but I don't always stick to it",Future security,Very comfortable,"No, I haven't thought that far ahead",Very confident,Investing regularly
30,Male,Save,"Yes, monthly",Rarely,Invest it,"Yes, I follow it strictly",Future security,Not comfortable,"Yes, I have a detailed plan",Very confident,Investing regularly
47,Female,Save,Sometimes,Frequently,Invest it,"Yes, but I don't always stick to it",Future security,Not comfortable,"Yes, but it's vague",Somewhat confident,Saving more
29,Female,Save,"Yes, daily",Never,Save it,"Yes, I follow it strictly",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Very confident,Saving more
49,Female,Save,"Yes, monthly",Always,Spend it,"Yes, I follow it strictly",Future security,Not comfortable,"Yes, but it's vague",Somewhat confident,Saving more
52,Male,Pay bills,Sometimes,Always,Save it,"Yes, but I don't always stick to it",Future security,Very comfortable,"Yes, but it's vague",Very confident,Spending less
40,Male,Pay bills,"Yes, daily",Rarely,Spend it,"Yes, but I don't always stick to it",Future security,Very comfortable,"Yes, but it's vague",Somewhat confident,Saving more
60,Male,Save,"Yes, monthly",Rarely,Invest it,"No, i don't have a budget",Future security,Very comfortable,"Yes, but it's vague",Somewhat confident,Saving more
41,Male,Spend,"Yes, monthly",Rarely,Save it,"No, i don't have a budget",Travel,Very comfortable,"No, I haven't thought that far ahead",Very confident,Spending less
27,Female,Save,"Yes, monthly",Rarely,Spend it,"Yes, but I don't always stick to it",Buying a home,Not comfortable,"Yes, but it's vague",Somewhat confident,Saving more
29,Female,Pay bills,"No, I don't track it",Frequently,Pay off debt,"Yes, but I don't always stick to it",Buying a home,Not comfortable,"No, I haven't thought that far ahead",Somewhat confident,Investing regularly
31,Female,Spend,"Yes, monthly",Rarely,Pay off debt,"Yes, but I don't always stick to it",Retiring early,Somewhat comfortable,"Yes, I have a detailed plan",Not confident at all,Saving more
47,Male,Save,"Yes, daily",Never,Spend it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Not confident at all,Creating and sticking to a budget
18,Female,Pay bills,"Yes, monthly",Frequently,Invest it,"Yes, but I don't always stick to it",Other,Very comfortable,"Yes, but it's vague",Very confident,Paying off debt
50,Female,Spend,Sometimes,Always,Invest it,"Yes, but I don't always stick to it",Travel,Very comfortable,"Yes, I have a detailed plan",Not confident at all,Spending less
30,Female,Save,"No, I don't track it",Never,Pay off debt,"No, i don't have a budget",Travel,Not comfortable,"No, I haven't thought that far ahead",Somewhat confident,Paying off debt
48,Female,Save,"Yes, monthly",Rarely,Invest it,"Yes, but I don't always stick to it",Travel,Somewhat comfortable,"No, I haven't thought that far ahead",Not confident at all,Spending less
64,Male,Save,"No, I don't track it",Frequently,Invest it,"Yes, I follow it strictly",Future security,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Saving more
29,Male,Save,Sometimes,Never,Spend it,"Yes, but I don't always stick to it",Buying a home,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Spending less
52,Female,Save,"Yes, daily",Frequently,Spend it,"Yes, but I don't always stick to it",Future security,Very comfortable,"No, I haven't thought that far ahead",Not confident at all,Paying off debt
31,Male,Spend,Sometimes,Frequently,Save it,"Yes, I follow it strictly",Travel,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Spending less
44,Female,Pay bills,"Yes, monthly",Rarely,Spend it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Not confident at all,Investing regularly
58,Male,Pay bills,Sometimes,Rarely,Invest it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Saving more
32,Male,Spend,"Yes, monthly",Rarely,Save it,"Yes, but I don't always stick to it",Buying a home,Very comfortable,"No, I haven't thought that far ahead",Somewhat confident,Saving more
32,Male,Spend,"Yes, monthly",Rarely,Pay off debt,"No, i don't have a budget",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Paying off debt
54,Male,Save,"Yes, daily",Frequently,Save it,"Yes, I follow it strictly",Travel,Not comfortable,"No, I haven't thought that far ahead",Very confident,Spending less
26,Male,Pay bills,"No, I don't track it",Never,Pay off debt,"Yes, but I don't always stick to it",Future security,Not comfortable,"Yes, but it's vague",Not confident at all,Saving more
40,Female,Pay bills,"Yes, daily",Frequently,Donate it,"No, i don't have a budget",Future security,Not comfortable,"No, I haven't thought that far ahead",Somewhat confident,Creating and sticking to a budget
52,Female,Spend,"No, I don't track it",Frequently,Invest it,"Yes, but I don't always stick to it",Buying a home,Somewhat comfortable,"Yes, I have a detailed plan",Not confident at all,Other
42,Female,Other,"Yes, monthly",Frequently,Save it,"Yes, I follow it strictly",Other,Not comfortable,"Yes, but it's vague",Somewhat confident,Saving more
18,Female,Save,"No, I don't track it",Frequently,Save it,"No, i don't have a budget",Future security,Very comfortable,"Yes, I have a detailed plan",Not confident at all,Investing regularly
50,Male,Save,"Yes, daily",Always,Invest it,"No, i don't have a budget",Travel,Not comfortable,"Yes, but it's vague",Not confident at all,Saving more
30,Male,Save,"No, I don't track it",Rarely,Spend it,"Yes, but I don't always stick to it",Buying a home,Not comfortable,"No, I haven't thought that far ahead",Somewhat confident,Paying off debt
39,Female,Other,Sometimes,Rarely,Spend it,"Yes, I follow it strictly",Future security,Not comfortable,"Yes, I have a detailed plan",Somewhat confident,Paying off debt
18,Male,Save,Sometimes,Frequently,Pay off debt,"No, i don't have a budget",Retiring early,Not comfortable,"Yes, but it's vague",Somewhat confident,Paying off debt
37,Male,Spend,"Yes, monthly",Never,Spend it,"No, i don't have a budget",Buying a home,Somewhat comfortable,"Yes, I have a detailed plan",Very confident,Creating and sticking to a budget
26,Male,Save,"Yes, daily",Frequently,Save it,"No, i don't have a budget",Future security,Very comfortable,"Yes, I have a detailed plan",Somewhat confident,Paying off debt
29,Male,Save,Sometimes,Never,Pay off debt,"Yes, but I don't always stick to it",Buying a home,Somewhat comfortable,"Yes, I have a detailed plan",Not confident at all,Paying off debt
57,Male,Save,Sometimes,Frequently,Save it,"No, i don't have a budget",Future security,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Spending less
62,Male,Pay bills,"No, I don't track it",Frequently,Spend it,"Yes, but I don't always stick to it",Travel,Not comfortable,"Yes, I have a detailed plan",Somewhat confident,Investing regularly
23,Male,Save,"Yes, daily",Never,Spend it,"Yes, I follow it strictly",Future security,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Spending less
22,Female,Pay bills,"Yes, monthly",Frequently,Pay off debt,"Yes, but I don't always stick to it",Retiring early,Very comfortable,"Yes, but it's vague",Not confident at all,Saving more
30,Female,Pay bills,Sometimes,Frequently,Spend it,"Yes, but I don't always stick to it",Other,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Paying off debt
22,Male,Spend,Sometimes,Never,Pay off debt,"No, i don't have a budget",Travel,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Spending less
28,Other,Spend,"No, I don't track it",Rarely,Save it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Paying off debt
61,Male,Other,"Yes, monthly",Frequently,Invest it,"Yes, but I don't always stick to it",Retiring early,Very comfortable,"Yes, I have a detailed plan",Somewhat confident,Spending less
48,Male,Save,"Yes, daily",Frequently,Pay off debt,"Yes, I follow it strictly",Travel,Somewhat comfortable,"Yes, I have a detailed plan",Very confident,Spending less
38,Female,Pay bills,"Yes, daily",Always,Invest it,"Yes, I follow it strictly",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Spending less
46,Female,Save,Sometimes,Frequently,Save it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Very confident,Saving more
25,Male,Other,Sometimes,Frequently,Save it,"Yes, I follow it strictly",Future security,Very comfortable,"No, I haven't thought that far ahead",Not confident at all,Investing regularly
33,Male,Save,Sometimes,Frequently,Invest it,"Yes, I follow it strictly",Buying a home,Very comfortable,"Yes, but it's vague",Somewhat confident,Creating and sticking to a budget
23,Male,Spend,"No, I don't track it",Rarely,Spend it,"No, i don't have a budget",Travel,Not comfortable,"Yes, but it's vague",Very confident,Paying off debt
19,Female,Pay bills,Sometimes,Frequently,Invest it,"Yes, I follow it strictly",Future security,Very comfortable,"Yes, I have a detailed plan",Somewhat confident,Paying off debt
60,Female,Save,"Yes, monthly",Frequently,Save it,"No, i don't have a budget",Travel,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Investing regularly
33,Female,Pay bills,"Yes, monthly",Rarely,Pay off debt,"No, i don't have a budget",Future security,Not comfortable,"No, I haven't thought that far ahead",Somewhat confident,Investing regularly
33,Male,Pay bills,"No, I don't track it",Rarely,Spend it,"No, i don't have a budget",Buying a home,Not comfortable,"Yes, but it's vague",Somewhat confident,Spending less
31,Female,Save,"No, I don't track it",Frequently,Spend it,"Yes, but I don't always stick to it",Buying a home,Very comfortable,"Yes, but it's vague",Very confident,Paying off debt
24,Male,Pay bills,"Yes, monthly",Frequently,Save it,"Yes, I follow it strictly",Travel,Not comfortable,"No, I haven't thought that far ahead",Somewhat confident,Investing regularly
27,Male,Pay bills,Sometimes,Never,Save it,"Yes, but I don't always stick to it",Retiring early,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Investing regularly
28,Male,Save,"Yes, daily",Rarely,Save it,"Yes, I follow it strictly",Travel,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Investing regularly
46,Male,Pay bills,"Yes, monthly",Rarely,Invest it,"Yes, but I don't always stick to it",Travel,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Creating and sticking to a budget
19,Male,Other,"Yes, daily",Frequently,Spend it,"Yes, but I don't always stick to it",Buying a home,Somewhat comfortable,"No, I haven't thought that far ahead",Not confident at all,Paying off debt
18,Male,Spend,"Yes, monthly",Rarely,Save it,"Yes, but I don't always stick to it",Retiring early,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Investing regularly
36,Female,Save,"No, I don't track it",Rarely,Spend it,"No, i don't have a budget",Buying a home,Not comfortable,"Yes, I have a detailed plan",Not confident at all,Spending less
28,Female,Other,Sometimes,Never,Pay off debt,"Yes, I follow it strictly",Future security,Very comfortable,"No, I haven't thought that far ahead",Somewhat confident,Paying off debt
62,Male,Pay bills,"Yes, monthly",Rarely,Invest it,"No, i don't have a budget",Buying a home,Very comfortable,"Yes, but it's vague",Somewhat confident,Investing regularly
47,Male,Save,Sometimes,Rarely,Spend it,"Yes, but I don't always stick to it",Buying a home,Very comfortable,"Yes, I have a detailed plan",Not confident at all,Paying off debt
42,Male,Pay bills,Sometimes,Frequently,Donate it,"Yes, but I don't always stick to it",Future security,Very comfortable,"Yes, I have a detailed plan",Somewhat confident,Investing regularly
41,Female,Save,Sometimes,Rarely,Pay off debt,"Yes, but I don't always stick to it",Future security,Not comfortable,"Yes, but it's vague",Somewhat confident,Spending less
42,Female,Pay bills,"No, I don't track it",Frequently,Spend it,"Yes, but I don't always stick to it",Retiring early,Very comfortable,"Yes, I have a detailed plan",Somewhat confident,Investing regularly
47,Male,Pay bills,"Yes, monthly",Always,Save it,"No, i don't have a budget",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Not confident at all,Spending less
60,Female,Spend,Sometimes,Frequently,Donate it,"Yes, but I don't always stick to it",Future security,Very comfortable,"Yes, but it's vague",Not confident at all,Saving more
21,Male,Pay bills,"Yes, monthly",Never,Save it,"Yes, but I don't always stick to it",Retiring early,Not comfortable,"No, I haven't thought that far ahead",Not confident at all,Saving more
37,Female,Other,"Yes, monthly",Frequently,Pay off debt,"Yes, but I don't always stick to it",Buying a home,Very comfortable,"Yes, I have a detailed plan",Very confident,Investing regularly
51,Other,Other,"Yes, daily",Frequently,Save it,"Yes, but I don't always stick to it",Buying a home,Not comfortable,"Yes, I have a detailed plan",Not confident at all,Investing regularly
59,Male,Save,"No, I don't track it",Always,Pay off debt,"Yes, I follow it strictly",Future security,Somewhat comfortable,"Yes, but it's vague",Very confident,Creating and sticking to a budget
49,Male,Spend,"Yes, daily",Never,Pay off debt,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Saving more
61,Female,Save,"No, I don't track it",Always,Save it,"Yes, but I don't always stick to it",Travel,Very comfortable,"No, I haven't thought that far ahead",Very confident,Paying off debt
35,Male,Pay bills,"Yes, monthly",Frequently,Invest it,"Yes, I follow it strictly",Retiring early,Not comfortable,"Yes, I have a detailed plan",Somewhat confident,Creating and sticking to a budget
47,Male,Pay bills,"Yes, daily",Rarely,Spend it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Very confident,Investing regularly
26,Female,Pay bills,"Yes, monthly",Frequently,Invest it,"No, i don't have a budget",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Saving more
56,Male,Save,"No, I don't track it",Rarely,Spend it,"No, i don't have a budget",Buying a home,Somewhat comfortable,"Yes, but it's vague",Very confident,Creating and sticking to a budget
47,Female,Spend,Sometimes,Frequently,Pay off debt,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Not confident at all,Creating and sticking to a budget
50,Male,Pay bills,Sometimes,Frequently,Save it,"Yes, I follow it strictly",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Investing regularly
36,Male,Spend,Sometimes,Never,Invest it,"Yes, but I don't always stick to it",Future security,Very comfortable,"Yes, but it's vague",Somewhat confident,Saving more
22,Male,Pay bills,"Yes, daily",Never,Save it,"No, i don't have a budget",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Creating and sticking to a budget
51,Female,Pay bills,"Yes, daily",Frequently,Save it,"Yes, I follow it strictly",Future security,Not comfortable,"No, I haven't thought that far ahead",Very confident,Saving more
44,Female,Spend,"Yes, monthly",Never,Invest it,"Yes, but I don't always stick to it",Travel,Not comfortable,"Yes, I have a detailed plan",Somewhat confident,Spending less
64,Male,Save,Sometimes,Rarely,Save it,"Yes, but I don't always stick to it",Future security,Very comfortable,"No, I haven't thought that far ahead",Somewhat confident,Saving more
63,Female,Spend,"Yes, daily",Never,Invest it,"Yes, I follow it strictly",Future security,Very comfortable,"Yes, I have a detailed plan",Very confident,Creating and sticking to a budget
31,Other,Spend,Sometimes,Frequently,Invest it,"Yes, but I don't always stick to it",Travel,Not comfortable,"Yes, I have a detailed plan",Somewhat confident,Paying off debt
29,Female,Save,"Yes, monthly",Frequently,Save it,"No, i don't have a budget",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Investing regularly
61,Male,Pay bills,"Yes, monthly",Frequently,Save it,"No, i don't have a budget",Travel,Not comfortable,"Yes, but it's vague",Somewhat confident,Investing regularly
48,Male,Pay bills,Sometimes,Rarely,Pay off debt,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, but it's vague",Very confident,Other
31,Female,Other,"No, I don't track it",Frequently,Pay off debt,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Creating and sticking to a budget
25,Female,Other,Sometimes,Never,Spend it,"Yes, but I don't always stick to it",Future security,Very comfortable,"Yes, I have a detailed plan",Not confident at all,Investing regularly
32,Female,Save,"No, I don't track it",Frequently,Invest it,"Yes, but I don't always stick to it",Buying a home,Very comfortable,"Yes, I have a detailed plan",Somewhat confident,Paying off debt
39,Male,Spend,Sometimes,Frequently,Pay off debt,"Yes, but I don't always stick to it",Future security,Not comfortable,"Yes, I have a detailed plan",Somewhat confident,Investing regularly
25,Female,Other,"Yes, daily",Rarely,Invest it,"No, i don't have a budget",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Saving more
55,Male,Spend,"Yes, daily",Never,Save it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Spending less
55,Female,Save,"Yes, daily",Frequently,Save it,"Yes, I follow it strictly",Retiring early,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Investing regularly
28,Female,Save,Sometimes,Frequently,Invest it,"Yes, but I don't always stick to it",Other,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Spending less
35,Female,Other,"No, I don't track it",Rarely,Save it,"No, i don't have a budget",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Paying off debt
22,Female,Save,"No, I don't track it",Frequently,Save it,"No, i don't have a budget",Buying a home,Not comfortable,"Yes, I have a detailed plan",Not confident at all,Paying off debt
26,Female,Spend,"Yes, monthly",Never,Invest it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Investing regularly
37,Male,Spend,"Yes, monthly",Never,Pay off debt,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, but it's vague",Very confident,Paying off debt
30,Male,Spend,"No, I don't track it",Frequently,Spend it,"Yes, but I don't always stick to it",Travel,Very comfortable,"No, I haven't thought that far ahead",Somewhat confident,Creating and sticking to a budget
23,Other,Spend,"No, I don't track it",Never,Save it,"Yes, but I don't always stick to it",Travel,Not comfortable,"No, I haven't thought that far ahead",Very confident,Saving more
53,Male,Other,Sometimes,Never,Invest it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Saving more
27,Female,Save,"Yes, daily",Never,Spend it,"No, i don't have a budget",Buying a home,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Creating and sticking to a budget
35,Female,Spend,Sometimes,Frequently,Invest it,"Yes, but I don't always stick to it",Retiring early,Somewhat comfortable,"No, I haven't thought that far ahead",Very confident,Creating and sticking to a budget
53,Female,Pay bills,"Yes, monthly",Rarely,Spend it,"Yes, I follow it strictly",Travel,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Saving more
21,Other,Spend,"Yes, daily",Never,Save it,"Yes, I follow it strictly",Travel,Very comfortable,"Yes, but it's vague",Very confident,Other
32,Male,Pay bills,"No, I don't track it",Rarely,Spend it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Spending less
28,Male,Spend,"No, I don't track it",Never,Save it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Other
62,Female,Spend,"No, I don't track it",Frequently,Save it,"Yes, but I don't always stick to it",Buying a home,Very comfortable,"Yes, but it's vague",Somewhat confident,Investing regularly
31,Female,Pay bills,"Yes, daily",Frequently,Invest it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Investing regularly
30,Male,Spend,Sometimes,Frequently,Pay off debt,"No, i don't have a budget",Future security,Very comfortable,"No, I haven't thought that far ahead",Somewhat confident,Investing regularly
53,Male,Spend,Sometimes,Never,Save it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Very confident,Investing regularly
31,Male,Pay bills,"No, I don't track it",Never,Spend it,"Yes, I follow it strictly",Retiring early,Very comfortable,"No, I haven't thought that far ahead",Somewhat confident,Paying off debt
34,Female,Spend,"No, I don't track it",Frequently,Save it,"No, i don't have a budget",Future security,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Saving more
25,Male,Other,"Yes, daily",Rarely,Invest it,"No, i don't have a budget",Retiring early,Very comfortable,"Yes, I have a detailed plan",Not confident at all,Investing regularly
20,Female,Pay bills,Sometimes,Always,Save it,"Yes, I follow it strictly",Travel,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Paying off debt
60,Male,Pay bills,"Yes, monthly",Rarely,Save it,"Yes, but I don't always stick to it",Retiring early,Very comfortable,"Yes, but it's vague",Somewhat confident,Paying off debt
52,Female,Save,"Yes, daily",Never,Save it,"No, i don't have a budget",Retiring early,Very comfortable,"No, I haven't thought that far ahead",Not confident at all,Creating and sticking to a budget
28,Female,Save,Sometimes,Never,Invest it,"Yes, but I don't always stick to it",Buying a home,Somewhat comfortable,"No, I haven't thought that far ahead",Not confident at all,Paying off debt
46,Female,Spend,"Yes, daily",Frequently,Invest it,"No, i don't have a budget",Travel,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Saving more
55,Female,Save,"Yes, monthly",Rarely,Spend it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Not confident at all,Saving more
59,Male,Pay bills,Sometimes,Frequently,Spend it,"No, i don't have a budget",Future security,Not comfortable,"Yes, but it's vague",Somewhat confident,Investing regularly
34,Female,Pay bills,"Yes, monthly",Rarely,Spend it,"Yes, I follow it strictly",Retiring early,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Spending less
27,Male,Spend,"No, I don't track it",Frequently,Save it,"Yes, but I don't always stick to it",Buying a home,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Spending less
40,Other,Pay bills,"Yes, monthly",Frequently,Save it,"Yes, but I don't always stick to it",Retiring early,Not comfortable,"Yes, I have a detailed plan",Somewhat confident,Saving more
60,Male,Spend,"Yes, daily",Never,Donate it,"No, i don't have a budget",Buying a home,Not comfortable,"Yes, but it's vague",Not confident at all,Paying off debt
31,Female,Pay bills,"Yes, monthly",Rarely,Save it,"No, i don't have a budget",Retiring early,Very comfortable,"No, I haven't thought that far ahead",Somewhat confident,Saving more
33,Female,Pay bills,"Yes, daily",Frequently,Save it,"No, i don't have a budget",Future security,Very comfortable,"Yes, but it's vague",Very confident,Spending less
19,Male,Spend,"No, I don't track it",Rarely,Pay off debt,"Yes, but I don't always stick to it",Travel,Very comfortable,"No, I haven't thought that far ahead",Very confident,Paying off debt
22,Female,Spend,"Yes, monthly",Rarely,Pay off debt,"Yes, but I don't always stick to it",Buying a home,Very comfortable,"Yes, but it's vague",Very confident,Paying off debt
44,Male,Spend,Sometimes,Frequently,Save it,"Yes, but I don't always stick to it",Travel,Very comfortable,"Yes, but it's vague",Somewhat confident,Creating and sticking to a budget
32,Male,Other,"Yes, daily",Rarely,Pay off debt,"Yes, but I don't always stick to it",Travel,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Paying off debt
21,Male,Save,"Yes, monthly",Never,Invest it,"No, i don't have a budget",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Very confident,Paying off debt
46,Male,Pay bills,"No, I don't track it",Never,Save it,"Yes, but I don't always stick to it",Buying a home,Somewhat comfortable,"Yes, but it's vague",Very confident,Other
26,Male,Save,"Yes, monthly",Frequently,Spend it,"Yes, but I don't always stick to it",Retiring early,Somewhat comfortable,"Yes, I have a detailed plan",Not confident at all,Investing regularly
29,Other,Save,Sometimes,Rarely,Donate it,"Yes, I follow it strictly",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Not confident at all,Paying off debt
39,Female,Pay bills,Sometimes,Frequently,Save it,"No, i don't have a budget",Travel,Not comfortable,"No, I haven't thought that far ahead",Not confident at all,Saving more
54,Male,Pay bills,Sometimes,Rarely,Save it,"Yes, but I don't always stick to it",Travel,Not comfortable,"Yes, but it's vague",Not confident at all,Paying off debt
53,Female,Save,"No, I don't track it",Frequently,Save it,"Yes, I follow it strictly",Future security,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Saving more
37,Male,Pay bills,"Yes, daily",Never,Save it,"Yes, but I don't always stick to it",Future security,Not comfortable,"Yes, but it's vague",Somewhat confident,Spending less
31,Male,Other,Sometimes,Frequently,Invest it,"Yes, I follow it strictly",Buying a home,Very comfortable,"No, I haven't thought that far ahead",Somewhat confident,Paying off debt
62,Female,Save,"Yes, daily",Rarely,Spend it,"Yes, I follow it strictly",Travel,Somewhat comfortable,"Yes, I have a detailed plan",Very confident,Creating and sticking to a budget
51,Female,Spend,Sometimes,Always,Save it,"Yes, I follow it strictly",Retiring early,Very comfortable,"No, I haven't thought that far ahead",Somewhat confident,Spending less
39,Male,Spend,"Yes, monthly",Frequently,Pay off debt,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Investing regularly
39,Male,Pay bills,"Yes, monthly",Frequently,Spend it,"Yes, but I don't always stick to it",Buying a home,Very comfortable,"No, I haven't thought that far ahead",Somewhat confident,Saving more
25,Female,Spend,"Yes, daily",Never,Pay off debt,"No, i don't have a budget",Buying a home,Somewhat comfortable,"No, I haven't thought that far ahead",Very confident,Creating and sticking to a budget
44,Female,Pay bills,Sometimes,Frequently,Invest it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Very confident,Paying off debt
48,Male,Other,"Yes, monthly",Frequently,Pay off debt,"Yes, but I don't always stick to it",Future security,Not comfortable,"Yes, but it's vague",Not confident at all,Spending less
23,Female,Spend,Sometimes,Rarely,Spend it,"Yes, but I don't always stick to it",Buying a home,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Creating and sticking to a budget
58,Female,Spend,Sometimes,Frequently,Spend it,"Yes, but I don't always stick to it",Travel,Not comfortable,"No, I haven't thought that far ahead",Somewhat confident,Creating and sticking to a budget
50,Female,Save,Sometimes,Never,Pay off debt,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Not confident at all,Saving more
43,Male,Save,Sometimes,Never,Pay off debt,"Yes, but I don't always stick to it",Buying a home,Somewhat comfortable,"Yes, I have a detailed plan",Very confident,Spending less
33,Female,Pay bills,"Yes, monthly",Frequently,Save it,"No, i don't have a budget",Buying a home,Somewhat comfortable,"Yes, I have a detailed plan",Very confident,Other
43,Male,Spend,"No, I don't track it",Always,Save it,"No, i don't have a budget",Future security,Very comfortable,"Yes, but it's vague",Somewhat confident,Investing regularly
51,Female,Save,Sometimes,Rarely,Spend it,"Yes, but I don't always stick to it",Future security,Very comfortable,"Yes, but it's vague",Somewhat confident,Saving more
39,Female,Pay bills,"No, I don't track it",Frequently,Save it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Not confident at all,Creating and sticking to a budget
42,Female,Save,"Yes, daily",Frequently,Spend it,"Yes, but I don't always stick to it",Travel,Somewhat comfortable,"Yes, I have a detailed plan",Not confident at all,Spending less
41,Male,Pay bills,"Yes, monthly",Always,Spend it,"Yes, I follow it strictly",Retiring early,Very comfortable,"Yes, I have a detailed plan",Very confident,Spending less
39,Male,Spend,"No, I don't track it",Frequently,Donate it,"Yes, I follow it strictly",Travel,Not comfortable,"Yes, I have a detailed plan",Somewhat confident,Spending less
50,Male,Pay bills,"Yes, daily",Rarely,Invest it,"No, i don't have a budget",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Very confident,Creating and sticking to a budget
32,Male,Save,"No, I don't track it",Frequently,Invest it,"Yes, but I don't always stick to it",Retiring early,Not comfortable,"Yes, but it's vague",Not confident at all,Investing regularly
